"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","DE_retailPrice","DE_dateFirstAvailable","DE_dateLastAvailable","height","width","depth","weight","thumbnailURL","imageURL"
8744,"Airplanes ",2011,"Master Builder Academy","Miscellaneous",NA,"Normal",TRUE,150,1,"https://brickset.com/sets/20203-1",0,0,"Polybag","LEGO exclusive",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/20203-1.jpg","https://images.brickset.com/sets/images/20203-1.jpg"
8762,"Willis Tower",2011,"Architecture","Model making","Landmark Series","Normal",TRUE,69,NA,"https://brickset.com/sets/21000-2",3.5,1,"Box","Retail - limited",10,19.99,"2011-06-04T00:00:00Z","2013-12-04T00:00:00Z",17.99,"2011-06-09T00:00:00Z","2013-12-25T00:00:00Z",26.99,"2011-07-21T00:00:00Z","2013-12-05T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/21000-2.jpg","https://images.brickset.com/sets/images/21000-2.jpg"
8338,"Rockefeller Center",2011,"Architecture","Model making","Architect Series","Normal",TRUE,240,NA,"https://brickset.com/sets/21007-1",3.6,1,"Box","Retail - limited",10,39.99,"2010-11-18T00:00:00Z","2013-12-01T00:00:00Z",34.99,"2011-06-09T00:00:00Z","2013-12-26T00:00:00Z",49.99,"2011-12-20T00:00:00Z","2013-11-30T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/21007-1.jpg","https://images.brickset.com/sets/images/21007-1.jpg"
8707,"Burj Khalifa",2011,"Architecture","Model making","Landmark Series","Normal",TRUE,208,NA,"https://brickset.com/sets/21008-1",3.4,4,"Box","Retail - limited",12,24.99,"2011-06-04T00:00:00Z","2013-12-12T00:00:00Z",22.99,"2011-06-04T00:00:00Z","2013-12-26T00:00:00Z",29.99,"2011-07-21T00:00:00Z","2013-12-12T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/21008-1.jpg","https://images.brickset.com/sets/images/21008-1.jpg"
8721,"Farnsworth House",2011,"Architecture","Model making","Architect Series","Normal",TRUE,546,NA,"https://brickset.com/sets/21009-1",4.2,4,"Box","Retail - limited",12,59.99,"2011-04-06T00:00:00Z","2014-04-30T00:00:00Z",54.99,"2011-04-06T00:00:00Z","2014-06-25T00:00:00Z",69.99,"2011-05-31T00:00:00Z","2014-04-30T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/21009-1.jpg","https://images.brickset.com/sets/images/21009-1.jpg"
8795,"Robie House",2011,"Architecture","Model making","Architect Series","Normal",TRUE,2276,NA,"https://brickset.com/sets/21010-1",4.6,7,"Box","Retail - limited",16,199.99,"2011-09-08T00:00:00Z","2013-12-14T00:00:00Z",169.99,"2011-09-08T00:00:00Z","2013-12-09T00:00:00Z",249.99,"2011-09-02T00:00:00Z","2013-12-14T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/21010-1.jpg","https://images.brickset.com/sets/images/21010-1.jpg"
8794,"Brandenburg Gate",2011,"Architecture","Model making","Landmark Series","Normal",TRUE,363,NA,"https://brickset.com/sets/21011-1",3.8,3,"Box","Retail - limited",12,34.99,"2011-09-08T00:00:00Z","2015-12-04T00:00:00Z",34.99,"2011-09-08T00:00:00Z","2015-12-03T00:00:00Z",44.99,"2011-09-02T00:00:00Z","2015-12-04T00:00:00Z",34.99,"2015-01-14T00:00:00Z","2015-12-03T00:00:00Z",NA,NA,NA,0.45,"https://images.brickset.com/sets/small/21011-1.jpg","https://images.brickset.com/sets/images/21011-1.jpg"
9021,"Life Of George 1",2011,"Life of George","Miscellaneous",NA,"Normal",TRUE,146,NA,"https://brickset.com/sets/21200-1",0,2,"{Not specified}","{Not specified}",8,29.99,"2011-10-04T00:00:00Z","2012-09-05T00:00:00Z",29.99,"2011-10-04T00:00:00Z","2012-10-19T00:00:00Z",34.99,"2011-10-02T00:00:00Z","2012-09-05T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/21200-1.jpg","https://images.brickset.com/sets/images/21200-1.jpg"
8624,"Police Helicopter",2011,"City","Modern day","Police","Normal",TRUE,32,1,"https://brickset.com/sets/30014-1",3.1,2,"Polybag","Promotional",6,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/30014-1.jpg","https://images.brickset.com/sets/images/30014-1.jpg"
8651,"Jet Ski",2011,"City","Modern day","Harbour","Normal",TRUE,24,2,"https://brickset.com/sets/30015-1",3.5,5,"Polybag","Promotional",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/30015-1.jpg","https://images.brickset.com/sets/images/30015-1.jpg"
8652,"Satellite",2011,"City","Modern day","Space","Normal",FALSE,35,NA,"https://brickset.com/sets/30016-1",0,0,"Polybag","{Not specified}",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/30016-1.jpg","https://images.brickset.com/sets/images/30016-1.jpg"
8632,"Bee",2011,"Creator","Model making",NA,"Normal",FALSE,23,NA,"https://brickset.com/sets/30022-1",0,0,"Polybag","{Not specified}",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/30022-1.jpg","https://images.brickset.com/sets/images/30022-1.jpg"
8633,"Lighthouse",2011,"Creator","Model making",NA,"Normal",TRUE,25,NA,"https://brickset.com/sets/30023-1",0,2,"Polybag","Promotional",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/30023-1.jpg","https://images.brickset.com/sets/images/30023-1.jpg"
8625,"Truck",2011,"Creator","Model making",NA,"Normal",TRUE,59,NA,"https://brickset.com/sets/30024-1",3.5,1,"Polybag","Promotional",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/30024-1.jpg","https://images.brickset.com/sets/images/30024-1.jpg"
8617,"Clown Fish",2011,"Creator","Model making",NA,"Normal",TRUE,59,NA,"https://brickset.com/sets/30025-1",0,2,"Polybag","Promotional",6,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/30025-1.jpg","https://images.brickset.com/sets/images/30025-1.jpg"
8622,"Panda",2011,"Creator","Model making",NA,"Normal",TRUE,62,NA,"https://brickset.com/sets/30026-1",0,1,"Polybag","Promotional",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/30026-1.jpg","https://images.brickset.com/sets/images/30026-1.jpg"
8634,"Reindeer",2011,"Creator","Model making",NA,"Normal",TRUE,66,NA,"https://brickset.com/sets/30027-1",0,0,"Polybag","Promotional",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/30027-1.jpg","https://images.brickset.com/sets/images/30027-1.jpg"
8635,"Holiday Wreath",2011,"Creator","Model making","Seasonal","Normal",TRUE,50,NA,"https://brickset.com/sets/30028-1",0,4,"Polybag","Promotional",6,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/30028-1.jpg","https://images.brickset.com/sets/images/30028-1.jpg"
8848,"Pudsey Bear",2011,"Creator","Model making",NA,"Normal",TRUE,95,NA,"https://brickset.com/sets/30029-1",0,1,"Polybag","Promotional",6,NA,NA,NA,4,"2011-10-05T00:00:00Z","2013-01-03T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/30029-1.jpg","https://images.brickset.com/sets/images/30029-1.jpg"
8636,"Buggy Racer",2011,"Racers","Racing","Tiny Turbos","Normal",TRUE,26,NA,"https://brickset.com/sets/30036-1",0,0,"Polybag","Promotional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/30036-1.jpg","https://images.brickset.com/sets/images/30036-1.jpg"
7726,"Mini X-wing",2011,"Star Wars","Licensed","Mini Building Set","Normal",TRUE,61,NA,"https://brickset.com/sets/30051-1",3.9,7,"Polybag","Promotional",6,3.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/30051-1.jpg","https://images.brickset.com/sets/images/30051-1.jpg"
8618,"AAT",2011,"Star Wars","Licensed","Episode I","Normal",TRUE,46,NA,"https://brickset.com/sets/30052-1",0,1,"Polybag","Promotional",6,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/30052-1.jpg","https://images.brickset.com/sets/images/30052-1.jpg"
8619,"Republic Attack Cruiser",2011,"Star Wars","Licensed","The Clone Wars","Normal",TRUE,41,NA,"https://brickset.com/sets/30053-1",3.5,7,"Polybag","Promotional",6,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/30053-1.jpg","https://images.brickset.com/sets/images/30053-1.jpg"
8680,"AT-ST",2011,"Star Wars","Licensed","Episode VI","Normal",TRUE,46,NA,"https://brickset.com/sets/30054-1",3.6,3,"Polybag","Promotional",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/30054-1.jpg","https://images.brickset.com/sets/images/30054-1.jpg"
