"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","UK_retailPrice","weight","thumbnailURL","imageURL"
1017,"Animals Park",1995,"Duplo","Pre-school",NA,"Normal",TRUE,42,2,"https://brickset.com/sets/2667-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
1020,"Water Park",1995,"Duplo","Pre-school",NA,"Normal",TRUE,42,5,"https://brickset.com/sets/2670-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
1039,"Fire Chief",1995,"Duplo","Pre-school",NA,"Normal",TRUE,6,1,"https://brickset.com/sets/2690-1",0,0,"{Not specified}","{Not specified}",NA,8,NA,NA,NA,NA
1040,"Fire Engine",1995,"Duplo","Pre-school",NA,"Normal",TRUE,12,1,"https://brickset.com/sets/2691-1",0,0,"{Not specified}","{Not specified}",NA,18.75,NA,NA,NA,NA
1041,"Fire Heliport",1995,"Duplo","Pre-school",NA,"Normal",TRUE,18,2,"https://brickset.com/sets/2692-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
1042,"Fire Station",1995,"Duplo","Pre-school",NA,"Normal",TRUE,47,3,"https://brickset.com/sets/2693-1",0,0,"{Not specified}","{Not specified}",NA,49.5,NA,NA,"https://images.brickset.com/sets/small/2693-1.jpg","https://images.brickset.com/sets/images/2693-1.jpg"
1105,"Ironing Room",1995,"Duplo","Pre-school",NA,"Normal",TRUE,6,1,"https://brickset.com/sets/2783-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
1107,"Living Room",1995,"Duplo","Pre-school",NA,"Normal",TRUE,9,1,"https://brickset.com/sets/2785-1",0,0,"{Not specified}","{Not specified}",NA,8.75,NA,NA,NA,NA
5012,"Pink Carry Case with Handle",1995,"Duplo","Pre-school",NA,"Normal",TRUE,21,3,"https://brickset.com/sets/2796-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA
1174,"Mini Digger",1995,"Duplo","Pre-school","Toolo","Normal",TRUE,16,1,"https://brickset.com/sets/2915-1",0,0,"{Not specified}","{Not specified}",NA,15,NA,NA,"https://images.brickset.com/sets/small/2915-1.jpg","https://images.brickset.com/sets/images/2915-1.jpg"
1178,"Helicopter",1995,"Duplo","Pre-school","Toolo","Normal",TRUE,20,1,"https://brickset.com/sets/2925-1",0,0,"{Not specified}","{Not specified}",NA,25,NA,NA,NA,NA
1190,"Space Center",1995,"Duplo","Pre-school","Toolo","Normal",TRUE,47,2,"https://brickset.com/sets/2945-1",0,0,"{Not specified}","{Not specified}",NA,50,NA,NA,"https://images.brickset.com/sets/small/2945-1.jpg","https://images.brickset.com/sets/images/2945-1.jpg"
1201,"Tool Box",1995,"Duplo","Pre-school","Toolo","Normal",TRUE,42,2,"https://brickset.com/sets/2960-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/2960-1.jpg","https://images.brickset.com/sets/images/2960-1.jpg"
4985,"Daft 'n' Dotty",1995,"Freestyle","Basic",NA,"Normal",TRUE,37,NA,"https://brickset.com/sets/4130-1",0,0,"{Not specified}","{Not specified}",NA,2,NA,NA,"https://images.brickset.com/sets/small/4130-1.jpg","https://images.brickset.com/sets/images/4130-1.jpg"
1968,"Freestyle Building Set, 3+",1995,"Freestyle","Basic",NA,"Normal",TRUE,71,NA,"https://brickset.com/sets/4131-1",0,0,"{Not specified}","{Not specified}",NA,4,NA,NA,"https://images.brickset.com/sets/small/4131-1.jpg","https://images.brickset.com/sets/images/4131-1.jpg"
1969,"3+ Tote Pack",1995,"Freestyle","Basic",NA,"Normal",TRUE,111,NA,"https://brickset.com/sets/4132-1",0,0,"Box with handle","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/4132-1.jpg","https://images.brickset.com/sets/images/4132-1.jpg"
1970,"Freestyle Bucket, 3+",1995,"Freestyle","Basic",NA,"Normal",TRUE,135,NA,"https://brickset.com/sets/4133-1",0,0,"{Not specified}","{Not specified}",NA,16.5,NA,NA,"https://images.brickset.com/sets/small/4133-1.jpg","https://images.brickset.com/sets/images/4133-1.jpg"
1971,"Freestyle Bucket, 3+",1995,"Freestyle","Basic",NA,"Normal",TRUE,252,NA,"https://brickset.com/sets/4134-1",0,0,"{Not specified}","{Not specified}",NA,20,NA,NA,"https://images.brickset.com/sets/small/4134-1.jpg","https://images.brickset.com/sets/images/4134-1.jpg"
1975,"Freestyle Building Set, 4+",1995,"Freestyle","Basic",NA,"Normal",TRUE,98,NA,"https://brickset.com/sets/4142-1",0,0,"{Not specified}","{Not specified}",NA,8,NA,NA,"https://images.brickset.com/sets/small/4142-1.jpg","https://images.brickset.com/sets/images/4142-1.jpg"
