"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","height","width","depth","thumbnailURL","imageURL"
2607,"Black Plates Assorted",1999,"Service Packs","Miscellaneous",NA,"Normal",TRUE,42,NA,"https://brickset.com/sets/5217-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5217-1.jpg","https://images.brickset.com/sets/images/5217-1.jpg"
2704,"Town / Space Accessories",1999,"Service Packs","Miscellaneous",NA,"Normal",TRUE,17,NA,"https://brickset.com/sets/5313-1",0,1,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5313-1.jpg","https://images.brickset.com/sets/images/5313-1.jpg"
2705,"Town / Res-Q Equipment",1999,"Service Packs","Miscellaneous","Town","Normal",TRUE,31,NA,"https://brickset.com/sets/5314-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5314-1.jpg","https://images.brickset.com/sets/images/5314-1.jpg"
2706,"Connectors",1999,"Service Packs","Miscellaneous",NA,"Normal",TRUE,60,NA,"https://brickset.com/sets/5315-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5315-1.jpg","https://images.brickset.com/sets/images/5315-1.jpg"
2707,"Transparent Accessories",1999,"Service Packs","Miscellaneous",NA,"Normal",TRUE,62,NA,"https://brickset.com/sets/5316-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5316-1.jpg","https://images.brickset.com/sets/images/5316-1.jpg"
2708,"Wild West Accessories",1999,"Service Packs","Miscellaneous","Western","Normal",TRUE,39,NA,"https://brickset.com/sets/5317-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5317-1.jpg","https://images.brickset.com/sets/images/5317-1.jpg"
2709,"Head Wear",1999,"Service Packs","Miscellaneous",NA,"Normal",TRUE,23,NA,"https://brickset.com/sets/5318-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5318-1.jpg","https://images.brickset.com/sets/images/5318-1.jpg"
2710,"Decorated Elements",1999,"Service Packs","Miscellaneous",NA,"Normal",TRUE,19,NA,"https://brickset.com/sets/5319-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5319-1.jpg","https://images.brickset.com/sets/images/5319-1.jpg"
2712,"Small Plates Assorted, White",1999,"Service Packs","Miscellaneous",NA,"Normal",TRUE,66,NA,"https://brickset.com/sets/5320-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5320-1.jpg","https://images.brickset.com/sets/images/5320-1.jpg"
2713,"Large White Plates Assorted",1999,"Service Packs","Miscellaneous",NA,"Normal",TRUE,10,NA,"https://brickset.com/sets/5321-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5321-1.jpg","https://images.brickset.com/sets/images/5321-1.jpg"
2750,"Belville Accessories",1999,"Service Packs","Miscellaneous","Belville","Normal",TRUE,25,NA,"https://brickset.com/sets/5399-1",0,1,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5399-1.jpg","https://images.brickset.com/sets/images/5399-1.jpg"
2760,"LEGO Scala Service",1999,"Service Packs","Miscellaneous","Scala","Normal",TRUE,21,NA,"https://brickset.com/sets/5413-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5413-1.jpg","https://images.brickset.com/sets/images/5413-1.jpg"
2761,"LEGO Scala Crazy Cooking",1999,"Service Packs","Miscellaneous","Scala","Normal",TRUE,24,NA,"https://brickset.com/sets/5414-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5414-1.jpg","https://images.brickset.com/sets/images/5414-1.jpg"
2762,"LEGO Scala",1999,"Service Packs","Miscellaneous","Scala","Normal",TRUE,15,NA,"https://brickset.com/sets/5415-1",0,1,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5415-1.jpg","https://images.brickset.com/sets/images/5415-1.jpg"
