"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","US_retailPrice","height","width","depth","thumbnailURL","imageURL"
6517,"Police Officers and Motorcycle",1976,"Building Set with People","Vintage",NA,"Normal",TRUE,86,NA,"https://brickset.com/sets/256-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/256-1.jpg","https://images.brickset.com/sets/images/256-1.jpg"
7480,"Zoo (with Baseboard)",1976,"Basic","Basic",NA,"Normal",TRUE,486,NA,"https://brickset.com/sets/258-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/258-1.jpg","https://images.brickset.com/sets/images/258-1.jpg"
1353,"Police Launch",1976,"LEGOLAND","Vintage","Boats","Normal",TRUE,53,2,"https://brickset.com/sets/314-1",3.2,4,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/314-1.jpg","https://images.brickset.com/sets/images/314-1.jpg"
7482,"Container Ship",1976,"LEGOLAND","Vintage","Boats","Normal",TRUE,95,NA,"https://brickset.com/sets/315-2",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/315-2.jpg","https://images.brickset.com/sets/images/315-2.jpg"
5085,"Taxi Garage",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,156,2,"https://brickset.com/sets/368-1",0,2,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/368-1.jpg","https://images.brickset.com/sets/images/368-1.jpg"
7436,"Coast Guard Station",1976,"LEGOLAND","Vintage","Building","Normal",TRUE,275,5,"https://brickset.com/sets/369-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/369-1.jpg","https://images.brickset.com/sets/images/369-1.jpg"
7228,"Police Headquarters",1976,"LEGOLAND","Vintage","Building","Normal",TRUE,280,4,"https://brickset.com/sets/370-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/370-1.jpg","https://images.brickset.com/sets/images/370-1.jpg"
5216,"Jeep with Steering",1976,"LEGOLAND","Vintage","Town","Normal",TRUE,57,NA,"https://brickset.com/sets/385-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/385-1.jpg","https://images.brickset.com/sets/images/385-1.jpg"
5106,"Air Ambulance",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,151,3,"https://brickset.com/sets/386-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/386-1.jpg","https://images.brickset.com/sets/images/386-1.jpg"
7992,"Excavator and Dumper",1976,"LEGOLAND","Vintage",NA,"Normal",TRUE,159,NA,"https://brickset.com/sets/387-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/387-1.jpg","https://images.brickset.com/sets/images/387-1.jpg"
6027,"Norton Motorcycle",1976,"Hobby Set","Vintage",NA,"Normal",TRUE,133,NA,"https://brickset.com/sets/393-1",0,1,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/393-1.jpg","https://images.brickset.com/sets/images/393-1.jpg"
6028,"Harley-Davidson 1000cc",1976,"Hobby Set","Vintage",NA,"Normal",TRUE,143,NA,"https://brickset.com/sets/394-1",0,2,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/394-1.jpg","https://images.brickset.com/sets/images/394-1.jpg"
