"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","height","width","depth","thumbnailURL","imageURL"
2659,"Wheels with 43 and 24 mm Tyres",1989,"Service Packs","Miscellaneous",NA,"Normal",TRUE,16,NA,"https://brickset.com/sets/5265-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5265-1.jpg","https://images.brickset.com/sets/images/5265-1.jpg"
2660,"Gear Racks, Gear Wheels and Pulley Wheels",1989,"Service Packs","Miscellaneous","Technic","Normal",TRUE,22,NA,"https://brickset.com/sets/5266-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,"https://images.brickset.com/sets/small/5266-1.jpg","https://images.brickset.com/sets/images/5266-1.jpg"
3026,"Knight's Challenge",1989,"Castle","Historical","Lion Knights","Normal",TRUE,168,8,"https://brickset.com/sets/6060-1",4.2,3,"Box","Retail - limited",NA,NA,NA,NA,"https://images.brickset.com/sets/small/6060-1.jpg","https://images.brickset.com/sets/images/6060-1.jpg"
3039,"Forestmen's River Fortress",1989,"Castle","Historical","Forestmen","Normal",TRUE,357,6,"https://brickset.com/sets/6077-2",4.5,9,"Box","Retail",8,NA,NA,NA,"https://images.brickset.com/sets/small/6077-2.jpg","https://images.brickset.com/sets/images/6077-2.jpg"
9289,"Double Pack",1989,"Pirates","Historical","Bonus/Value Pack","Collection",TRUE,45,NA,"https://brickset.com/sets/6200-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,"https://images.brickset.com/sets/small/6200-1.jpg","https://images.brickset.com/sets/images/6200-1.jpg"
3096,"Buried Treasure",1989,"Pirates","Historical",NA,"Normal",TRUE,20,1,"https://brickset.com/sets/6235-1",3.6,15,"Box","Retail",NA,NA,NA,NA,"https://images.brickset.com/sets/small/6235-1.jpg","https://images.brickset.com/sets/images/6235-1.jpg"
3101,"Harbour Sentry",1989,"Pirates","Historical","Imperial Guards","Normal",TRUE,25,1,"https://brickset.com/sets/6245-1",3.7,22,"Box","Retail",NA,NA,NA,NA,"https://images.brickset.com/sets/small/6245-1.jpg","https://images.brickset.com/sets/images/6245-1.jpg"
3108,"Pirate Minifigures",1989,"Pirates","Historical","Accessories","Normal",TRUE,33,5,"https://brickset.com/sets/6251-1",4.1,8,"Box","Retail",NA,NA,NA,NA,"https://images.brickset.com/sets/small/6251-1.jpg","https://images.brickset.com/sets/images/6251-1.jpg"
3111,"Pirates Comic",1989,"Pirates","Historical",NA,"Normal",TRUE,12,2,"https://brickset.com/sets/6255-1",4.5,4,"Other","Retail",NA,NA,NA,NA,"https://images.brickset.com/sets/small/6255-1.jpg","https://images.brickset.com/sets/images/6255-1.jpg"
3113,"Castaway's Raft",1989,"Pirates","Historical",NA,"Normal",TRUE,54,3,"https://brickset.com/sets/6257-1",3.8,10,"Box","Retail",NA,NA,NA,NA,"https://images.brickset.com/sets/small/6257-1.jpg","https://images.brickset.com/sets/images/6257-1.jpg"
