"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","thumbnailURL","imageURL"
22469,"Speedway",1991,"Duplo","Pre-school",NA,"Normal",TRUE,9,2,"https://brickset.com/sets/2447-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA
22470,"Police Squad",1991,"Duplo","Pre-school",NA,"Normal",TRUE,13,2,"https://brickset.com/sets/2451-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA
22471,"Corral",1991,"Duplo","Pre-school",NA,"Normal",TRUE,24,2,"https://brickset.com/sets/2455-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA
22472,"Express Train",1991,"Duplo","Pre-school",NA,"Normal",TRUE,38,3,"https://brickset.com/sets/2459-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA
1004,"Police Emergency Unit",1991,"Duplo","Pre-school",NA,"Normal",TRUE,11,2,"https://brickset.com/sets/2654-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
1010,"Zoo Nursery",1991,"Duplo","Pre-school",NA,"Normal",TRUE,5,NA,"https://brickset.com/sets/2660-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2660-1.jpg","https://images.brickset.com/sets/images/2660-1.jpg"
1021,"Grand Prix Racing Team",1991,"Duplo","Pre-school",NA,"Normal",TRUE,7,2,"https://brickset.com/sets/2671-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2671-1.jpg","https://images.brickset.com/sets/images/2671-1.jpg"
1022,"Police Station",1991,"Duplo","Pre-school",NA,"Normal",TRUE,16,3,"https://brickset.com/sets/2672-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2672-1.jpg","https://images.brickset.com/sets/images/2672-1.jpg"
1093,"DUPLO Family",1991,"Duplo","Pre-school",NA,"Normal",TRUE,1,7,"https://brickset.com/sets/2771-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2771-1.jpg","https://images.brickset.com/sets/images/2771-1.jpg"
1094,"DUPLO World People",1991,"Duplo","Pre-school",NA,"Normal",TRUE,12,12,"https://brickset.com/sets/2772-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
1095,"Barbecue",1991,"Duplo","Pre-school",NA,"Normal",TRUE,11,3,"https://brickset.com/sets/2773-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
1097,"Bathroom",1991,"Duplo","Pre-school",NA,"Normal",TRUE,6,1,"https://brickset.com/sets/2775-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2775-1.jpg","https://images.brickset.com/sets/images/2775-1.jpg"
1098,"Bedroom",1991,"Duplo","Pre-school",NA,"Normal",TRUE,14,1,"https://brickset.com/sets/2776-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
1099,"Living Room",1991,"Duplo","Pre-school",NA,"Normal",TRUE,12,1,"https://brickset.com/sets/2777-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
1100,"Kitchen",1991,"Duplo","Pre-school",NA,"Normal",TRUE,11,1,"https://brickset.com/sets/2778-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2778-1.jpg","https://images.brickset.com/sets/images/2778-1.jpg"
1101,"Playhouse (Unfurnished)",1991,"Duplo","Pre-school",NA,"Normal",TRUE,10,NA,"https://brickset.com/sets/2779-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA
1103,"Complete Playhouse",1991,"Duplo","Pre-school",NA,"Normal",TRUE,50,4,"https://brickset.com/sets/2780-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/2780-1.jpg","https://images.brickset.com/sets/images/2780-1.jpg"
1872,"Cabin Cruiser",1991,"Boats","Modern day",NA,"Normal",TRUE,90,2,"https://brickset.com/sets/4011-1",4.2,14,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4011-1.jpg","https://images.brickset.com/sets/images/4011-1.jpg"
1882,"Police Patrol",1991,"Boats","Modern day",NA,"Normal",TRUE,195,3,"https://brickset.com/sets/4021-1",4.1,4,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4021-1.jpg","https://images.brickset.com/sets/images/4021-1.jpg"
1892,"Firefighter",1991,"Boats","Modern day",NA,"Normal",TRUE,361,4,"https://brickset.com/sets/4031-1",4.4,2,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4031-1.jpg","https://images.brickset.com/sets/images/4031-1.jpg"
2173,"Straight Rails",1991,"Trains","Modern day","9V","Normal",TRUE,8,NA,"https://brickset.com/sets/4515-1",4,3,"Box","Retail",12.99,"2007-10-24T00:00:00Z","2007-11-02T00:00:00Z",11.99,"2007-10-24T00:00:00Z","2007-11-02T00:00:00Z","https://images.brickset.com/sets/small/4515-1.jpg","https://images.brickset.com/sets/images/4515-1.jpg"
2177,"Curved Rails",1991,"Trains","Modern day","9V","Normal",TRUE,8,NA,"https://brickset.com/sets/4520-1",3.8,1,"Box","Retail",12.99,"2007-10-24T00:00:00Z","2007-11-02T00:00:00Z",11.99,"2007-10-24T00:00:00Z","2007-11-02T00:00:00Z","https://images.brickset.com/sets/small/4520-1.jpg","https://images.brickset.com/sets/images/4520-1.jpg"
2181,"Manual Points with Track",1991,"Trains","Modern day","9V","Normal",TRUE,6,NA,"https://brickset.com/sets/4531-1",3.9,2,"Box","Retail",27.99,"2007-10-24T00:00:00Z","2007-11-02T00:00:00Z",NA,NA,NA,"https://images.brickset.com/sets/small/4531-1.jpg","https://images.brickset.com/sets/images/4531-1.jpg"
2186,"Blue Hopper Car",1991,"Trains","Modern day","9V","Normal",TRUE,166,NA,"https://brickset.com/sets/4536-1",4.2,3,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4536-1.jpg","https://images.brickset.com/sets/images/4536-1.jpg"
2189,"Manual Level Crossing",1991,"Trains","Modern day","9V","Normal",TRUE,110,1,"https://brickset.com/sets/4539-1",3.8,1,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4539-1.jpg","https://images.brickset.com/sets/images/4539-1.jpg"
2192,"Railroad Tractor Flatbed",1991,"Trains","Modern day","9V","Normal",TRUE,178,1,"https://brickset.com/sets/4543-1",4.3,3,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4543-1.jpg","https://images.brickset.com/sets/images/4543-1.jpg"
2194,"Road & Rail Maintenance",1991,"Trains","Modern day","9V","Normal",TRUE,77,1,"https://brickset.com/sets/4546-1",3.9,3,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4546-1.jpg","https://images.brickset.com/sets/images/4546-1.jpg"
2196,"Transformer and Speed Regulator",1991,"Trains","Modern day","9V","Normal",TRUE,3,NA,"https://brickset.com/sets/4548-1",3.7,2,"Box","Retail",41.99,"2007-10-24T00:00:00Z","2007-11-02T00:00:00Z",NA,NA,NA,"https://images.brickset.com/sets/small/4548-1.jpg","https://images.brickset.com/sets/images/4548-1.jpg"
2198,"Crocodile Locomotive",1991,"Trains","Modern day","9V","Normal",TRUE,314,1,"https://brickset.com/sets/4551-1",4.5,2,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4551-1.jpg","https://images.brickset.com/sets/images/4551-1.jpg"
2201,"Metro Station",1991,"Trains","Modern day","9V","Normal",TRUE,600,8,"https://brickset.com/sets/4554-1",4.6,3,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4554-1.jpg","https://images.brickset.com/sets/images/4554-1.jpg"
2205,"Metroliner",1991,"Trains","Modern day","9V","Normal",TRUE,784,11,"https://brickset.com/sets/4558-1",4.6,10,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4558-1.jpg","https://images.brickset.com/sets/images/4558-1.jpg"
2210,"Load N' Haul Railroad",1991,"Trains","Modern day","9V","Normal",TRUE,476,3,"https://brickset.com/sets/4563-1",4.3,6,"Box","Retail",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4563-1.jpg","https://images.brickset.com/sets/images/4563-1.jpg"
2433,"Space Light and Radar Plates, Disks and Cones (Transparent Lights)",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,50,NA,"https://brickset.com/sets/5042-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5042-1.jpg","https://images.brickset.com/sets/images/5042-1.jpg"
2434,"Mini Antennas, Control Sticks and Antennas",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,26,NA,"https://brickset.com/sets/5043-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5043-1.jpg","https://images.brickset.com/sets/images/5043-1.jpg"
2435,"Harbour Base with Slipway",1991,"Service Packs","Miscellaneous","Town","Normal",TRUE,3,NA,"https://brickset.com/sets/5044-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5044-1.jpg","https://images.brickset.com/sets/images/5044-1.jpg"
2436,"Magnets, Magnet Holders",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,12,NA,"https://brickset.com/sets/5045-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5045-1.jpg","https://images.brickset.com/sets/images/5045-1.jpg"
2437,"Wheels, Tyres and Spring Suspension",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,10,NA,"https://brickset.com/sets/5046-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5046-1.jpg","https://images.brickset.com/sets/images/5046-1.jpg"
2491,"Pneumatic Valves",1991,"Service Packs","Miscellaneous","Technic","Normal",TRUE,1,NA,"https://brickset.com/sets/5099-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5099-1.jpg","https://images.brickset.com/sets/images/5099-1.jpg"
2508,"Motor 9V",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/5114-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5114-1.jpg","https://images.brickset.com/sets/images/5114-1.jpg"
2509,"Battery Box 9V",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/5115-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5115-1.jpg","https://images.brickset.com/sets/images/5115-1.jpg"
2512,"Flex System Elements",1991,"Service Packs","Miscellaneous","Technic","Normal",TRUE,35,NA,"https://brickset.com/sets/5118-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5118-1.jpg","https://images.brickset.com/sets/images/5118-1.jpg"
2547,"Plane Accessories",1991,"Service Packs","Miscellaneous","Town","Normal",TRUE,23,NA,"https://brickset.com/sets/5153-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5153-1.jpg","https://images.brickset.com/sets/images/5153-1.jpg"
2548,"Decorated Elements",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,26,NA,"https://brickset.com/sets/5154-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5154-1.jpg","https://images.brickset.com/sets/images/5154-1.jpg"
2549,"Sloping Frames, Space Wings, Motors and Seats",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,19,NA,"https://brickset.com/sets/5155-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5155-1.jpg","https://images.brickset.com/sets/images/5155-1.jpg"
2550,"Transparent Bricks",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,17,NA,"https://brickset.com/sets/5156-1",0,1,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5156-1.jpg","https://images.brickset.com/sets/images/5156-1.jpg"
2551,"Town and Space Tools",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,32,NA,"https://brickset.com/sets/5157-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5157-1.jpg","https://images.brickset.com/sets/images/5157-1.jpg"
2552,"Runway T-Junction and Circle Base Plates",1991,"Service Packs","Miscellaneous","Town","Normal",TRUE,2,NA,"https://brickset.com/sets/5158-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5158-1.jpg","https://images.brickset.com/sets/images/5158-1.jpg"
2553,"Two Straight Airport Runways",1991,"Service Packs","Miscellaneous","Town","Normal",TRUE,2,NA,"https://brickset.com/sets/5159-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5159-1.jpg","https://images.brickset.com/sets/images/5159-1.jpg"
2558,"Hinges, Turntables and Couplings",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,17,NA,"https://brickset.com/sets/5164-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5164-1.jpg","https://images.brickset.com/sets/images/5164-1.jpg"
2559,"Hinges, Couplings and Tilting Bearings",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,31,NA,"https://brickset.com/sets/5165-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5165-1.jpg","https://images.brickset.com/sets/images/5165-1.jpg"
2560,"Lamp Holders, Tool Holder Plates",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,18,NA,"https://brickset.com/sets/5166-1",0,0,"Polybag","LEGO exclusive",NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/5166-1.jpg","https://images.brickset.com/sets/images/5166-1.jpg"
