"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL"
3564,"Shell Petrol Tanker",1978,"Town","Modern day","Classic","Normal",TRUE,77,1,"https://brickset.com/sets/671-1",3.6,3,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/671-1.jpg","https://images.brickset.com/sets/images/671-1.jpg"
3573,"Fire Engine and Trailer",1978,"Town","Modern day","Classic","Normal",TRUE,70,1,"https://brickset.com/sets/672-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/672-1.jpg","https://images.brickset.com/sets/images/672-1.jpg"
3577,"Rally Car and Motorbike",1978,"Town","Modern day","Classic","Normal",TRUE,65,2,"https://brickset.com/sets/673-1",0,3,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/673-1.jpg","https://images.brickset.com/sets/images/673-1.jpg"
3587,"Forklift and Truck",1978,"Town","Modern day","Classic","Normal",TRUE,55,1,"https://brickset.com/sets/674-1",0,2,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/674-1.jpg","https://images.brickset.com/sets/images/674-1.jpg"
3787,"Police Boat",1978,"Town","Modern day",NA,"Normal",TRUE,53,1,"https://brickset.com/sets/709-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/709-1.jpg","https://images.brickset.com/sets/images/709-1.jpg"
3943,"Baseplate, Green",1978,"Basic","Basic","Supplementaries","Normal",TRUE,1,NA,"https://brickset.com/sets/745-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/745-1.jpg","https://images.brickset.com/sets/images/745-1.jpg"
3950,"Baseplates, Green and Yellow",1978,"Basic","Basic","Supplementaries","Normal",TRUE,2,NA,"https://brickset.com/sets/746-1",0,0,"{Not specified}","{Not specified}",NA,NA
3957,"Baseplates, Red and Blue",1978,"Basic","Basic","Supplementaries","Normal",TRUE,2,NA,"https://brickset.com/sets/747-1",0,0,"{Not specified}","{Not specified}",NA,NA
4003,"Fire Fighter",1978,"LEGOLAND","Vintage",NA,"Normal",TRUE,133,NA,"https://brickset.com/sets/775-1",0,1,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/775-1.jpg","https://images.brickset.com/sets/images/775-1.jpg"
4340,"Go-Kart",1978,"Technic","Technical",NA,"Normal",TRUE,206,NA,"https://brickset.com/sets/854-1",4,8,"Box","Retail","https://images.brickset.com/sets/small/854-1.jpg","https://images.brickset.com/sets/images/854-1.jpg"
4350,"Mobile Crane",1978,"Technic","Technical",NA,"Normal",TRUE,512,NA,"https://brickset.com/sets/855-1",3.9,4,"Box","Retail","https://images.brickset.com/sets/small/855-1.jpg","https://images.brickset.com/sets/images/855-1.jpg"
4438,"Two Gear Blocks",1978,"Technic","Technical","Supplementary","Normal",TRUE,77,NA,"https://brickset.com/sets/872-1",3.4,1,"Box","Retail","https://images.brickset.com/sets/small/872-1.jpg","https://images.brickset.com/sets/images/872-1.jpg"
