"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","height","width","depth","weight","thumbnailURL","imageURL"
2285,"Tractor-Trailer",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,8,1,"https://brickset.com/sets/4687-1",0,0,"{Not specified}","{Not specified}",NA,12.99,"2007-10-29T18:30:46.297Z","2008-12-05T00:00:00Z",7.99,"2009-08-06T00:00:00Z","2009-08-06T00:00:00Z",NA,NA,NA,NA,"https://images.brickset.com/sets/small/4687-1.jpg","https://images.brickset.com/sets/images/4687-1.jpg"
2286,"Team Construction",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,22,2,"https://brickset.com/sets/4688-1",0,0,"{Not specified}","{Not specified}",NA,20,NA,NA,17.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4688-1.jpg","https://images.brickset.com/sets/images/4688-1.jpg"
2287,"Playhouse",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,60,4,"https://brickset.com/sets/4689-1",0,0,"{Not specified}","{Not specified}",NA,25,NA,NA,19.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4689-1.jpg","https://images.brickset.com/sets/images/4689-1.jpg"
2288,"Horse Stable",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,29,2,"https://brickset.com/sets/4690-1",0,0,"{Not specified}","{Not specified}",NA,10,NA,NA,14.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4690-1.jpg","https://images.brickset.com/sets/images/4690-1.jpg"
2289,"Police Station",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,61,3,"https://brickset.com/sets/4691-1",0,1,"{Not specified}","{Not specified}",NA,40,NA,NA,29.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4691-1.jpg","https://images.brickset.com/sets/images/4691-1.jpg"
2290,"Fire Car",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,2,1,"https://brickset.com/sets/4692-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,2.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4692-1.jpg","https://images.brickset.com/sets/images/4692-1.jpg"
2291,"Ferrari F1 Race Car",2004,"Duplo","Pre-school","Ferrari","Normal",TRUE,5,1,"https://brickset.com/sets/4693-1",0,1,"{Not specified}","{Not specified}",NA,10,NA,NA,7.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4693-1.jpg","https://images.brickset.com/sets/images/4693-1.jpg"
2292,"Ferrari F1 Racing Team",2004,"Duplo","Pre-school","Ferrari","Normal",TRUE,37,2,"https://brickset.com/sets/4694-1",0,0,"{Not specified}","{Not specified}",NA,40,NA,NA,29.99,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4694-1.jpg","https://images.brickset.com/sets/images/4694-1.jpg"
2293,"Mini Harry Potter Knight Bus",2004,"Harry Potter","Licensed","Prisoner of Azkaban","Normal",TRUE,58,NA,"https://brickset.com/sets/4695-1",3.6,10,"Polybag","Promotional",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/4695-1.jpg","https://images.brickset.com/sets/images/4695-1.jpg"
4972,"Blue Bucket",2004,"Creator","Model making",NA,"Normal",TRUE,400,NA,"https://brickset.com/sets/4696-1",0,1,"Bucket","Retail",NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
