"setID","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","weight","thumbnailURL","imageURL"
3098,"Pirates Plunder",1993,"Pirates","Historical",NA,"Normal",TRUE,21,2,"https://brickset.com/sets/6237-1",3.5,3,"Box","Retail",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6237-1.jpg","https://images.brickset.com/sets/images/6237-1.jpg"
3109,"Sea Mates",1993,"Pirates","Historical","Accessories","Normal",TRUE,32,4,"https://brickset.com/sets/6252-1",3.9,7,"Box","Retail",7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6252-1.jpg","https://images.brickset.com/sets/images/6252-1.jpg"
3124,"Cannon Cove",1993,"Pirates","Historical","Imperial Guards","Normal",TRUE,106,3,"https://brickset.com/sets/6266-1",4.2,5,"Box","Retail",17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6266-1.jpg","https://images.brickset.com/sets/images/6266-1.jpg"
3126,"Renegade Runner",1993,"Pirates","Historical",NA,"Normal",TRUE,178,4,"https://brickset.com/sets/6268-1",4.2,15,"Box","Retail",39.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6268-1.jpg","https://images.brickset.com/sets/images/6268-1.jpg"
3139,"Skull's Eye Schooner",1993,"Pirates","Historical",NA,"Normal",TRUE,912,9,"https://brickset.com/sets/6286-1",4.8,22,"Box","Retail",126.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6286-1.jpg","https://images.brickset.com/sets/images/6286-1.jpg"
3167,"Trees and Fences",1993,"Town","Modern day","Accessories","Normal",TRUE,37,NA,"https://brickset.com/sets/6319-1",4,0,"Box","Retail",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6319-1.jpg","https://images.brickset.com/sets/images/6319-1.jpg"
3193,"Beach Rescue Chopper",1993,"Town","Modern day","Coastguard","Normal",TRUE,147,3,"https://brickset.com/sets/6342-1",3.8,2,"Box","Retail",17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6342-1.jpg","https://images.brickset.com/sets/images/6342-1.jpg"
3194,"Jet Speed Justice",1993,"Town","Modern day","Police","Normal",TRUE,157,2,"https://brickset.com/sets/6344-1",4,4,"Box","Retail",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6344-1.jpg","https://images.brickset.com/sets/images/6344-1.jpg"
3195,"Aerial Acrobats",1993,"Town","Modern day","Flight","Normal",TRUE,351,6,"https://brickset.com/sets/6345-1",4.4,7,"Box","Retail",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6345-1.jpg","https://images.brickset.com/sets/images/6345-1.jpg"
3254,"Central Precinct HQ",1993,"Town","Modern day","Police","Normal",TRUE,615,5,"https://brickset.com/sets/6398-1",4.4,15,"Box","Retail",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6398-1.jpg","https://images.brickset.com/sets/images/6398-1.jpg"
3260,"Paradise Playground",1993,"Town","Modern day","Paradisa","Normal",TRUE,94,3,"https://brickset.com/sets/6403-1",4,3,"Box","Retail",13.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6403-1.jpg","https://images.brickset.com/sets/images/6403-1.jpg"
3265,"Island Arcade",1993,"Town","Modern day","Paradisa","Normal",TRUE,145,5,"https://brickset.com/sets/6409-1",3.8,1,"Box","Retail",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6409-1.jpg","https://images.brickset.com/sets/images/6409-1.jpg"
3366,"Glade Runner",1993,"Town","Modern day","Boats","Normal",TRUE,31,1,"https://brickset.com/sets/6513-1",3.6,6,"Box","Retail",3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6513-1.jpg","https://images.brickset.com/sets/images/6513-1.jpg"
3395,"Aero Hawk",1993,"Town","Modern day","Flight","Normal",TRUE,48,1,"https://brickset.com/sets/6536-1",3.4,4,"Box","Retail",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6536-1.jpg","https://images.brickset.com/sets/images/6536-1.jpg"
3398,"Victory Cup Racers",1993,"Town","Modern day","Racing","Normal",TRUE,458,4,"https://brickset.com/sets/6539-1",4.4,4,"Box","Retail",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6539-1.jpg","https://images.brickset.com/sets/images/6539-1.jpg"
3411,"Rocky River Retreat",1993,"Town","Modern day","Leisure","Normal",TRUE,241,2,"https://brickset.com/sets/6552-1",4.4,9,"Box","Retail",29.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6552-1.jpg","https://images.brickset.com/sets/images/6552-1.jpg"
3450,"Surf Shack",1993,"Town","Modern day","Leisure","Normal",TRUE,93,3,"https://brickset.com/sets/6595-1",4.4,3,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6595-1.jpg","https://images.brickset.com/sets/images/6595-1.jpg"
3517,"Wave Rebel",1993,"Town","Modern day","Vehicles","Normal",TRUE,79,1,"https://brickset.com/sets/6663-1",3.9,4,"Box","Retail",7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6663-1.jpg","https://images.brickset.com/sets/images/6663-1.jpg"
3518,"Chopper Cops",1993,"Town","Modern day","Police","Normal",TRUE,67,2,"https://brickset.com/sets/6664-1",3.4,5,"Box","Retail",7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6664-1.jpg","https://images.brickset.com/sets/images/6664-1.jpg"
3521,"Pothole Patcher",1993,"Town","Modern day","Maintenance","Normal",TRUE,97,1,"https://brickset.com/sets/6667-1",3.9,2,"Box","Retail",9.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6667-1.jpg","https://images.brickset.com/sets/images/6667-1.jpg"
3524,"Rescue Rig",1993,"Town","Modern day","Vehicles","Normal",TRUE,114,1,"https://brickset.com/sets/6670-1",4,3,"Box","Retail",9.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6670-1.jpg","https://images.brickset.com/sets/images/6670-1.jpg"
3628,"Galactic Chief",1993,"Space","Action/Adventure","Space Police 2","Normal",TRUE,24,1,"https://brickset.com/sets/6813-1",3.3,8,"Box","Retail",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6813-1.jpg","https://images.brickset.com/sets/images/6813-1.jpg"
3629,"Ice Tunnelator",1993,"Space","Action/Adventure","Ice Planet 2002","Normal",TRUE,25,1,"https://brickset.com/sets/6814-1",3.7,9,"Box","Retail",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6814-1.jpg","https://images.brickset.com/sets/images/6814-1.jpg"
3648,"Celestial Sled",1993,"Space","Action/Adventure","Ice Planet 2002","Normal",TRUE,55,1,"https://brickset.com/sets/6834-1",3.8,9,"Box","Retail",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6834-1.jpg","https://images.brickset.com/sets/images/6834-1.jpg"
3663,"Sonar Security",1993,"Space","Action/Adventure","Space Police 2","Normal",TRUE,61,1,"https://brickset.com/sets/6852-1",3.6,5,"Box","Retail",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6852-1.jpg","https://images.brickset.com/sets/images/6852-1.jpg"
3667,"Super Model Building Instruction",1993,"Space","Action/Adventure","Blacktron 2","Normal",TRUE,1,3,"https://brickset.com/sets/6861-2",0,1,"Other","LEGO exclusive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6861-2.jpg","https://images.brickset.com/sets/images/6861-2.jpg"
3677,"Blizzard Baron",1993,"Space","Action/Adventure","Ice Planet 2002","Normal",TRUE,82,1,"https://brickset.com/sets/6879-1",3.9,8,"Box","Retail",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6879-1.jpg","https://images.brickset.com/sets/images/6879-1.jpg"
3695,"Ice-Sat V",1993,"Space","Action/Adventure","Ice Planet 2002","Normal",TRUE,135,1,"https://brickset.com/sets/6898-1",4.4,8,"Box","Retail",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6898-1.jpg","https://images.brickset.com/sets/images/6898-1.jpg"
3743,"Deep Freeze Defender",1993,"Space","Action/Adventure","Ice Planet 2002","Normal",TRUE,417,3,"https://brickset.com/sets/6973-1",4.7,28,"Box","Retail",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6973-1.jpg","https://images.brickset.com/sets/images/6973-1.jpg"
3751,"Ice Station Odyssey",1993,"Space","Action/Adventure","Ice Planet 2002","Normal",TRUE,343,3,"https://brickset.com/sets/6983-1",4.4,11,"Box","Retail",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/6983-1.jpg","https://images.brickset.com/sets/images/6983-1.jpg"
4099,"Multi Model Starter Set",1993,"Technic","Technical","Universal","Normal",TRUE,118,NA,"https://brickset.com/sets/8022-1",3.4,2,"Box","Retail",15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8022-1.jpg","https://images.brickset.com/sets/images/8022-1.jpg"
4108,"Multi Model Pneumatic Set",1993,"Technic","Technical","Universal","Normal",TRUE,230,NA,"https://brickset.com/sets/8042-1",4,3,"Box","Retail",38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8042-1.jpg","https://images.brickset.com/sets/images/8042-1.jpg"
4120,"Multi Model Control Set",1993,"Technic","Technical","Universal","Normal",TRUE,459,NA,"https://brickset.com/sets/8082-1",4,3,"Box","Retail",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8082-1.jpg","https://images.brickset.com/sets/images/8082-1.jpg"
4437,"The LEGO Technic Guys",1993,"Technic","Technical","Supplementary","Normal",TRUE,9,3,"https://brickset.com/sets/8714-1",3.8,3,"Box","Retail",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8714-1.jpg","https://images.brickset.com/sets/images/8714-1.jpg"
4468,"Dune Buggy",1993,"Technic","Technical",NA,"Normal",TRUE,120,NA,"https://brickset.com/sets/8818-1",3.6,1,"Box","Retail",13.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8818-1.jpg","https://images.brickset.com/sets/images/8818-1.jpg"
4470,"Hovercraft",1993,"Technic","Technical",NA,"Normal",TRUE,194,NA,"https://brickset.com/sets/8824-1",3.8,3,"Box","Retail",25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8824-1.jpg","https://images.brickset.com/sets/images/8824-1.jpg"
4501,"Street Chopper",1993,"Technic","Technical",NA,"Normal",TRUE,409,NA,"https://brickset.com/sets/8857-1",3.8,2,"Box","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8857-1.jpg","https://images.brickset.com/sets/images/8857-1.jpg"
4510,"Forklift Transporter",1993,"Technic","Technical",NA,"Normal",TRUE,763,NA,"https://brickset.com/sets/8872-1",4.3,3,"Box","Retail",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/8872-1.jpg","https://images.brickset.com/sets/images/8872-1.jpg"
4840,"XL Duplo Bulk Set",1993,"Dacta","Educational",NA,"Normal",TRUE,550,8,"https://brickset.com/sets/9090-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.02,"https://images.brickset.com/sets/small/9090-1.jpg","https://images.brickset.com/sets/images/9090-1.jpg"
8000,"Hospital",1993,"Dacta","Educational",NA,"Normal",TRUE,522,19,"https://brickset.com/sets/9364-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/9364-1.jpg","https://images.brickset.com/sets/images/9364-1.jpg"
8001,"Community Vehicles",1993,"Dacta","Educational",NA,"Normal",TRUE,739,13,"https://brickset.com/sets/9365-1",0,0,"{Not specified}","{Not specified}",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/9365-1.jpg","https://images.brickset.com/sets/images/9365-1.jpg"
4894,"Gears Set",1993,"Dacta","Educational","Technic","Normal",TRUE,67,2,"https://brickset.com/sets/9610-1",0,0,"{Not specified}","{Not specified}",12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/9610-1.jpg","https://images.brickset.com/sets/images/9610-1.jpg"
4895,"Levers Set",1993,"Dacta","Educational","Technic","Normal",TRUE,62,NA,"https://brickset.com/sets/9612-1",0,0,"{Not specified}","{Not specified}",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/9612-1.jpg","https://images.brickset.com/sets/images/9612-1.jpg"
4896,"Pulleys Mini Set",1993,"Dacta","Educational","Technic","Normal",TRUE,77,NA,"https://brickset.com/sets/9614-1",0,0,"{Not specified}","{Not specified}",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://images.brickset.com/sets/small/9614-1.jpg","https://images.brickset.com/sets/images/9614-1.jpg"
