"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable"
2437,"5046",1,"Wheels, Tyres and Spring Suspension",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,10,NA,"https://brickset.com/sets/5046-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5046-1.jpg","https://images.brickset.com/sets/images/5046-1.jpg",NA,NA,NA,NA,NA,NA
2491,"5099",1,"Pneumatic Valves",1991,"Service Packs","Miscellaneous","Technic","Normal",TRUE,1,NA,"https://brickset.com/sets/5099-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5099-1.jpg","https://images.brickset.com/sets/images/5099-1.jpg",NA,NA,NA,NA,NA,NA
2508,"5114",1,"Motor 9V",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/5114-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5114-1.jpg","https://images.brickset.com/sets/images/5114-1.jpg",NA,NA,NA,NA,NA,NA
2509,"5115",1,"Battery Box 9V",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/5115-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5115-1.jpg","https://images.brickset.com/sets/images/5115-1.jpg",NA,NA,NA,NA,NA,NA
2512,"5118",1,"Flex System Elements",1991,"Service Packs","Miscellaneous","Technic","Normal",TRUE,35,NA,"https://brickset.com/sets/5118-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5118-1.jpg","https://images.brickset.com/sets/images/5118-1.jpg",NA,NA,NA,NA,NA,NA
2547,"5153",1,"Plane Accessories",1991,"Service Packs","Miscellaneous","Town","Normal",TRUE,23,NA,"https://brickset.com/sets/5153-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5153-1.jpg","https://images.brickset.com/sets/images/5153-1.jpg",NA,NA,NA,NA,NA,NA
2548,"5154",1,"Decorated Elements",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,26,NA,"https://brickset.com/sets/5154-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5154-1.jpg","https://images.brickset.com/sets/images/5154-1.jpg",NA,NA,NA,NA,NA,NA
2549,"5155",1,"Sloping Frames, Space Wings, Motors and Seats",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,19,NA,"https://brickset.com/sets/5155-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5155-1.jpg","https://images.brickset.com/sets/images/5155-1.jpg",NA,NA,NA,NA,NA,NA
2550,"5156",1,"Transparent Bricks",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,17,NA,"https://brickset.com/sets/5156-1",0,1,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5156-1.jpg","https://images.brickset.com/sets/images/5156-1.jpg",NA,NA,NA,NA,NA,NA
2551,"5157",1,"Town and Space Tools",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,32,NA,"https://brickset.com/sets/5157-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5157-1.jpg","https://images.brickset.com/sets/images/5157-1.jpg",NA,NA,NA,NA,NA,NA
2552,"5158",1,"Runway T-Junction and Circle Base Plates",1991,"Service Packs","Miscellaneous","Town","Normal",TRUE,2,NA,"https://brickset.com/sets/5158-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5158-1.jpg","https://images.brickset.com/sets/images/5158-1.jpg",NA,NA,NA,NA,NA,NA
2553,"5159",1,"Two Straight Airport Runways",1991,"Service Packs","Miscellaneous","Town","Normal",TRUE,2,NA,"https://brickset.com/sets/5159-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5159-1.jpg","https://images.brickset.com/sets/images/5159-1.jpg",NA,NA,NA,NA,NA,NA
2558,"5164",1,"Hinges, Turntables and Couplings",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,17,NA,"https://brickset.com/sets/5164-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5164-1.jpg","https://images.brickset.com/sets/images/5164-1.jpg",NA,NA,NA,NA,NA,NA
2559,"5165",1,"Hinges, Couplings and Tilting Bearings",1991,"Service Packs","Miscellaneous",NA,"Normal",TRUE,31,NA,"https://brickset.com/sets/5165-1",0,0,"Polybag","LEGO exclusive","https://images.brickset.com/sets/small/5165-1.jpg","https://images.brickset.com/sets/images/5165-1.jpg",NA,NA,NA,NA,NA,NA
