"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","height","width","depth","weight"
1821,"3794",1,"Police Motorcycle",1985,"Fabuland","Junior",NA,"Normal",TRUE,14,1,"https://brickset.com/sets/3794-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3794-1.jpg","https://images.brickset.com/sets/images/3794-1.jpg",NA,NA,NA,NA
1822,"3795",1,"Catherine Cat in her Kitchen",1985,"Fabuland","Junior",NA,"Normal",TRUE,28,1,"https://brickset.com/sets/3795-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3795-1.jpg","https://images.brickset.com/sets/images/3795-1.jpg",NA,NA,NA,NA
2981,"6011",1,"Black Knight's Treasure",1985,"Castle","Historical","Black Falcons","Normal",TRUE,25,1,"https://brickset.com/sets/6011-1",3.8,6,"Box","Retail",NA,"https://images.brickset.com/sets/small/6011-1.jpg","https://images.brickset.com/sets/images/6011-1.jpg",7,10.5,3.8,NA
3021,"6055",1,"Prisoner Convoy",1985,"Castle","Historical","Lion Knights","Normal",TRUE,115,4,"https://brickset.com/sets/6055-1",4.2,7,"Box","Retail",NA,"https://images.brickset.com/sets/small/6055-1.jpg","https://images.brickset.com/sets/images/6055-1.jpg",NA,NA,NA,NA
3065,"6102",1,"Castle Mini-Figures",1985,"Castle","Historical","Accessories","Normal",TRUE,36,6,"https://brickset.com/sets/6102-1",4.4,6,"Box","Retail",NA,"https://images.brickset.com/sets/small/6102-1.jpg","https://images.brickset.com/sets/images/6102-1.jpg",NA,NA,NA,NA
3220,"6368",1,"Jet Airliner",1985,"Town","Modern day","Flight","Normal",TRUE,136,2,"https://brickset.com/sets/6368-1",4.1,8,"Box","Retail",NA,"https://images.brickset.com/sets/small/6368-1.jpg","https://images.brickset.com/sets/images/6368-1.jpg",NA,NA,NA,NA
3221,"6369",1,"Auto Workshop",1985,"Town","Modern day","Shops and Services","Normal",TRUE,134,1,"https://brickset.com/sets/6369-1",4.3,6,"Box","Retail",NA,"https://images.brickset.com/sets/small/6369-1.jpg","https://images.brickset.com/sets/images/6369-1.jpg",NA,NA,NA,NA
3223,"6370",1,"Weekend Home",1985,"Town","Modern day","Leisure","Normal",TRUE,173,2,"https://brickset.com/sets/6370-1",4.2,4,"Box","Retail",NA,"https://images.brickset.com/sets/small/6370-1.jpg","https://images.brickset.com/sets/images/6370-1.jpg",NA,NA,NA,NA
3231,"6377",1,"Delivery Centre",1985,"Town","Modern day","Flight","Normal",TRUE,305,4,"https://brickset.com/sets/6377-1",4.2,4,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/6377-1.jpg","https://images.brickset.com/sets/images/6377-1.jpg",NA,NA,NA,NA
3240,"6385",1,"Fire House-I",1985,"Town","Modern day","Fire","Normal",TRUE,407,3,"https://brickset.com/sets/6385-1",4.2,5,"Box","Retail",NA,"https://images.brickset.com/sets/small/6385-1.jpg","https://images.brickset.com/sets/images/6385-1.jpg",NA,NA,NA,NA
3248,"6392",1,"Airport",1985,"Town","Modern day","Flight","Normal",TRUE,530,8,"https://brickset.com/sets/6392-1",4.5,12,"Box","Retail",NA,"https://images.brickset.com/sets/small/6392-1.jpg","https://images.brickset.com/sets/images/6392-1.jpg",NA,NA,NA,NA
3457,"6601",1,"Ice Cream Cart",1985,"Town","Modern day","Leisure","Normal",TRUE,30,1,"https://brickset.com/sets/6601-1",4.1,4,"Box","Retail",NA,"https://images.brickset.com/sets/small/6601-1.jpg","https://images.brickset.com/sets/images/6601-1.jpg",NA,NA,NA,NA
3460,"6603",1,"Shovel Truck",1985,"Town","Modern day","Construction","Normal",TRUE,27,1,"https://brickset.com/sets/6603-1",3.4,1,"Box","Retail",NA,"https://images.brickset.com/sets/small/6603-1.jpg","https://images.brickset.com/sets/images/6603-1.jpg",NA,NA,NA,NA
3461,"6604",1,"Formula 1 Racer",1985,"Town","Modern day","Racing","Normal",TRUE,31,1,"https://brickset.com/sets/6604-1",3,4,"Box","Retail",NA,"https://images.brickset.com/sets/small/6604-1.jpg","https://images.brickset.com/sets/images/6604-1.jpg",NA,NA,NA,NA
