"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL"
7847,"1051",1,"Basic Pack",1984,"Dacta","Educational",NA,"Normal",TRUE,402,6,"https://brickset.com/sets/1051-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1051-1.jpg","https://images.brickset.com/sets/images/1051-1.jpg"
7848,"1052",1,"{Spare Elements}",1984,"Dacta","Educational",NA,"Normal",TRUE,699,NA,"https://brickset.com/sets/1052-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1052-1.jpg","https://images.brickset.com/sets/images/1052-1.jpg"
7849,"1053",1,"Community Buildings",1984,"Dacta","Educational",NA,"Normal",TRUE,914,NA,"https://brickset.com/sets/1053-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1053-1.jpg","https://images.brickset.com/sets/images/1053-1.jpg"
7867,"1084",1,"{Spare Elements - Structures}",1984,"Dacta","Educational",NA,"Normal",TRUE,198,NA,"https://brickset.com/sets/1084-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1084-1.jpg","https://images.brickset.com/sets/images/1084-1.jpg"
30659,"1214",1,"Upper part of housing for 4.5V/12V train motor",1984,"Service Packs","Miscellaneous","Trains","Normal",TRUE,1,NA,"https://brickset.com/sets/1214-1",0,0,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/1214-1.jpg","https://images.brickset.com/sets/images/1214-1.jpg"
22450,"1900",1,"Trial Pack Duck",1984,"Duplo","Pre-school",NA,"Normal",TRUE,6,NA,"https://brickset.com/sets/1900-1",0,0,"Box","Retail - limited",NA,NA,NA
5919,"1901",1,"Trial Size Offer",1984,"Basic","Basic",NA,"Normal",TRUE,31,NA,"https://brickset.com/sets/1901-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/1901-1.jpg","https://images.brickset.com/sets/images/1901-1.jpg"
22451,"1932",1,"Basic Building Set with Storage Case",1984,"Basic","Basic",NA,"Normal",TRUE,83,NA,"https://brickset.com/sets/1932-1",0,0,"Other","Retail - limited",NA,NA,NA
22452,"1954",2,"Basic Set with Storage Case",1984,"Basic","Basic",NA,"Normal",TRUE,137,NA,"https://brickset.com/sets/1954-2",0,0,"Other","Retail - limited",NA,"https://images.brickset.com/sets/small/1954-2.jpg","https://images.brickset.com/sets/images/1954-2.jpg"
8427,"1976",1,"Town 3-Pack",1984,"Town","Modern day","Bonus/Value Pack","Collection",TRUE,97,NA,"https://brickset.com/sets/1976-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1976-1.jpg","https://images.brickset.com/sets/images/1976-1.jpg"
22453,"1979",2,"Town Value Pack",1984,"Town","Modern day","Product Collection","Collection",TRUE,78,NA,"https://brickset.com/sets/1979-2",0,0,"{Not specified}","{Not specified}",NA,NA,NA
696,"1983",1,"Space Value Pack",1984,"Space","Action/Adventure","Bonus/Value Pack","Collection",TRUE,97,NA,"https://brickset.com/sets/1983-1",0,0,"Blister pack","{Not specified}",NA,"https://images.brickset.com/sets/small/1983-1.jpg","https://images.brickset.com/sets/images/1983-1.jpg"
748,"2054",1,"Squirrel Rattle",1984,"Duplo","Pre-school","Baby","Normal",TRUE,2,NA,"https://brickset.com/sets/2054-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
749,"2055",1,"Rocking Horse",1984,"Duplo","Pre-school","Baby","Normal",TRUE,2,1,"https://brickset.com/sets/2055-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
857,"2305",1,"Base Plate, Red",1984,"Duplo","Pre-school",NA,"Normal",TRUE,1,NA,"https://brickset.com/sets/2305-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
859,"2307",1,"Supplementary Set",1984,"Duplo","Pre-school",NA,"Normal",TRUE,18,NA,"https://brickset.com/sets/2307-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
861,"2309",1,"Supplementary Set",1984,"Duplo","Pre-school",NA,"Normal",TRUE,25,NA,"https://brickset.com/sets/2309-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2309-1.jpg","https://images.brickset.com/sets/images/2309-1.jpg"
876,"2335",1,"Basic Set Animal",1984,"Duplo","Pre-school",NA,"Normal",TRUE,9,NA,"https://brickset.com/sets/2335-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2335-1.jpg","https://images.brickset.com/sets/images/2335-1.jpg"
883,"2345",1,"Basic Set House",1984,"Duplo","Pre-school",NA,"Normal",TRUE,15,2,"https://brickset.com/sets/2345-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
887,"2355",1,"Basic Set Vehicles",1984,"Duplo","Pre-school",NA,"Normal",TRUE,25,2,"https://brickset.com/sets/2355-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
897,"2375",1,"Basic Set Town",1984,"Duplo","Pre-school",NA,"Normal",TRUE,53,4,"https://brickset.com/sets/2375-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
971,"2618",1,"Deep Sea Diver",1984,"Duplo","Pre-school",NA,"Normal",TRUE,2,1,"https://brickset.com/sets/2618-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
972,"2619",1,"Helicopter",1984,"Duplo","Pre-school",NA,"Normal",TRUE,2,1,"https://brickset.com/sets/2619-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2619-1.jpg","https://images.brickset.com/sets/images/2619-1.jpg"
985,"2636",1,"Tow Truck",1984,"Duplo","Pre-school",NA,"Normal",TRUE,3,1,"https://brickset.com/sets/2636-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA
991,"2639",1,"Petrol Station",1984,"Duplo","Pre-school",NA,"Normal",TRUE,12,2,"https://brickset.com/sets/2639-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2639-1.jpg","https://images.brickset.com/sets/images/2639-1.jpg"
999,"2649",1,"Sea Explorer",1984,"Duplo","Pre-school",NA,"Normal",TRUE,36,3,"https://brickset.com/sets/2649-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2649-1.jpg","https://images.brickset.com/sets/images/2649-1.jpg"
