"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","weight"
700,"1993",1,"Race Value Pack",1993,"Town","Modern day","Bonus/Value Pack","Collection",TRUE,220,NA,"https://brickset.com/sets/1993-1",0,0,"Box","Retail - limited",NA,"https://images.brickset.com/sets/small/1993-1.jpg","https://images.brickset.com/sets/images/1993-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22497,"2311",1,"Clown",1993,"Duplo","Pre-school",NA,"Normal",TRUE,16,NA,"https://brickset.com/sets/2311-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22498,"2369",1,"Racing Bucket",1993,"Duplo","Pre-school",NA,"Normal",TRUE,38,2,"https://brickset.com/sets/2369-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
896,"2372",1,"Zoo Bucket",1993,"Duplo","Pre-school",NA,"Normal",TRUE,36,2,"https://brickset.com/sets/2372-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22499,"2378",1,"Farm Bucket",1993,"Duplo","Pre-school",NA,"Normal",TRUE,53,2,"https://brickset.com/sets/2378-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6157,"2382",1,"Train Bucket",1993,"Duplo","Pre-school",NA,"Normal",TRUE,41,2,"https://brickset.com/sets/2382-1",0,0,"Bucket","Retail - limited",NA,"https://images.brickset.com/sets/small/2382-1.jpg","https://images.brickset.com/sets/images/2382-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22500,"2389",1,"Animal Bucket",1993,"Duplo","Pre-school",NA,"Normal",TRUE,43,4,"https://brickset.com/sets/2389-1",0,0,"Bucket","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22501,"2452",1,"Choo Choo Train",1993,"Duplo","Pre-school",NA,"Normal",TRUE,13,2,"https://brickset.com/sets/2452-1",0,0,"Box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,"2553",1,"The Pony Stable",1993,"Duplo","Pre-school",NA,"Normal",TRUE,27,1,"https://brickset.com/sets/2553-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2553-1.jpg","https://images.brickset.com/sets/images/2553-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1025,"2675",1,"Police Helicopter",1993,"Duplo","Pre-school",NA,"Normal",TRUE,3,1,"https://brickset.com/sets/2675-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2675-1.jpg","https://images.brickset.com/sets/images/2675-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1026,"2676",1,"Private Plane",1993,"Duplo","Pre-school",NA,"Normal",TRUE,7,1,"https://brickset.com/sets/2676-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2676-1.jpg","https://images.brickset.com/sets/images/2676-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1027,"2677",1,"Fire Helicopter",1993,"Duplo","Pre-school",NA,"Normal",TRUE,7,2,"https://brickset.com/sets/2677-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1028,"2678",1,"Jumbo Jet",1993,"Duplo","Pre-school",NA,"Normal",TRUE,12,3,"https://brickset.com/sets/2678-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029,"2679",1,"Airport",1993,"Duplo","Pre-school",NA,"Normal",TRUE,23,3,"https://brickset.com/sets/2679-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1064,"2730",1,"Electric Play Train Set",1993,"Duplo","Pre-school","Trains","Normal",TRUE,54,2,"https://brickset.com/sets/2730-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2730-1.jpg","https://images.brickset.com/sets/images/2730-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1066,"2732",1,"Push-Along Play Train Set",1993,"Duplo","Pre-school","Trains","Normal",TRUE,46,3,"https://brickset.com/sets/2732-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2732-1.jpg","https://images.brickset.com/sets/images/2732-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1067,"2733",1,"Push-Along Play Train",1993,"Duplo","Pre-school","Trains","Normal",TRUE,9,1,"https://brickset.com/sets/2733-1",0,0,"{Not specified}","{Not specified}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1068,"2734",1,"Straight Track (Straight Rails)",1993,"Duplo","Pre-school","Trains","Normal",TRUE,6,NA,"https://brickset.com/sets/2734-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/2734-1.jpg","https://images.brickset.com/sets/images/2734-1.jpg",4.99,"2007-10-24T00:00:00Z","2013-02-15T00:00:00Z",7.49,"2007-10-24T00:00:00Z","2012-12-10T00:00:00Z",7.99,"2011-10-09T00:00:00Z","2013-02-15T00:00:00Z",NA
