"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","UK_retailPrice","UK_dateFirstAvailable","UK_dateLastAvailable","CA_retailPrice","CA_dateFirstAvailable","CA_dateLastAvailable","height","width","depth","weight"
2209,"4562",1,"Creator Box",2004,"Creator","Model making",NA,"Normal",TRUE,400,NA,"https://brickset.com/sets/4562-1",0,0,"Box","Retail",NA,"https://images.brickset.com/sets/small/4562-1.jpg","https://images.brickset.com/sets/images/4562-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2271,"4666",1,"Speedy Police Car",2004,"4 Juniors","Junior","City","Normal",TRUE,24,1,"https://brickset.com/sets/4666-1",0,2,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4666-1.jpg","https://images.brickset.com/sets/images/4666-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,14.4,4.8,NA
2272,"4667",1,"Loadin' Digger",2004,"4 Juniors","Junior","City","Normal",TRUE,29,1,"https://brickset.com/sets/4667-1",0,3,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4667-1.jpg","https://images.brickset.com/sets/images/4667-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,19.2,6,NA
2273,"4668",1,"Outrigger Construction Crane",2004,"4 Juniors","Junior","City","Normal",TRUE,61,2,"https://brickset.com/sets/4668-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4668-1.jpg","https://images.brickset.com/sets/images/4668-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,28.8,6,NA
2274,"4669",1,"Turbo-Charged Police Boat",2004,"4 Juniors","Junior","City","Normal",TRUE,52,2,"https://brickset.com/sets/4669-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4669-1.jpg","https://images.brickset.com/sets/images/4669-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,24,33.6,7.2,NA
2275,"4676",1,"Police Key Chain",2004,"Gear","Miscellaneous","Key Chains/Miscellaneous","Gear",TRUE,NA,NA,"https://brickset.com/sets/4676-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4676-1.jpg","https://images.brickset.com/sets/images/4676-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2276,"4677",1,"Letter Set Black",2004,"Gear","Miscellaneous","Key Chains/Miscellaneous","Gear",TRUE,NA,NA,"https://brickset.com/sets/4677-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4677-1.jpg","https://images.brickset.com/sets/images/4677-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2277,"4678",1,"Picture Holder",2004,"Gear","Miscellaneous","Photo frames","Gear",TRUE,NA,1,"https://brickset.com/sets/4678-1",0,0,"Box","LEGO exclusive",NA,"https://images.brickset.com/sets/small/4678-1.jpg","https://images.brickset.com/sets/images/4678-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2278,"4679",2,"Bricks and Creations",2004,"Creator","Model making",NA,"Normal",TRUE,1531,NA,"https://brickset.com/sets/4679-2",0,10,"Plastic box","Retail - limited",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3,37.6,27.3,NA
2279,"4680",1,"Traffic Patrol",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,3,1,"https://brickset.com/sets/4680-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4680-1.jpg","https://images.brickset.com/sets/images/4680-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2280,"4681",1,"Fire Truck",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,18,2,"https://brickset.com/sets/4681-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4681-1.jpg","https://images.brickset.com/sets/images/4681-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2281,"4683",1,"Pony and Cart",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,5,1,"https://brickset.com/sets/4683-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4683-1.jpg","https://images.brickset.com/sets/images/4683-1.jpg",4.99,"2008-06-25T00:00:00Z","2008-11-04T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2282,"4684",1,"Pick-Up Truck",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,4,1,"https://brickset.com/sets/4684-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4684-1.jpg","https://images.brickset.com/sets/images/4684-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2283,"4685",1,"Fork Lift",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,10,1,"https://brickset.com/sets/4685-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4685-1.jpg","https://images.brickset.com/sets/images/4685-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2284,"4686",1,"Little Farm",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,50,2,"https://brickset.com/sets/4686-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4686-1.jpg","https://images.brickset.com/sets/images/4686-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2285,"4687",1,"Tractor-Trailer",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,8,1,"https://brickset.com/sets/4687-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4687-1.jpg","https://images.brickset.com/sets/images/4687-1.jpg",12.99,"2007-10-29T18:30:46.297Z","2008-12-05T00:00:00Z",7.99,"2009-08-06T00:00:00Z","2009-08-06T00:00:00Z",NA,NA,NA,NA,NA,NA,NA
2286,"4688",1,"Team Construction",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,22,2,"https://brickset.com/sets/4688-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4688-1.jpg","https://images.brickset.com/sets/images/4688-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2287,"4689",1,"Playhouse",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,60,4,"https://brickset.com/sets/4689-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4689-1.jpg","https://images.brickset.com/sets/images/4689-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2288,"4690",1,"Horse Stable",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,29,2,"https://brickset.com/sets/4690-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4690-1.jpg","https://images.brickset.com/sets/images/4690-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2289,"4691",1,"Police Station",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,61,3,"https://brickset.com/sets/4691-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4691-1.jpg","https://images.brickset.com/sets/images/4691-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2290,"4692",1,"Fire Car",2004,"Duplo","Pre-school","LEGO Ville","Normal",TRUE,2,1,"https://brickset.com/sets/4692-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4692-1.jpg","https://images.brickset.com/sets/images/4692-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2291,"4693",1,"Ferrari F1 Race Car",2004,"Duplo","Pre-school","Ferrari","Normal",TRUE,5,1,"https://brickset.com/sets/4693-1",0,1,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4693-1.jpg","https://images.brickset.com/sets/images/4693-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2292,"4694",1,"Ferrari F1 Racing Team",2004,"Duplo","Pre-school","Ferrari","Normal",TRUE,37,2,"https://brickset.com/sets/4694-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/4694-1.jpg","https://images.brickset.com/sets/images/4694-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2293,"4695",1,"Mini Harry Potter Knight Bus",2004,"Harry Potter","Licensed","Prisoner of Azkaban","Normal",TRUE,58,NA,"https://brickset.com/sets/4695-1",3.5,11,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/4695-1.jpg","https://images.brickset.com/sets/images/4695-1.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,0,NA
4972,"4696",1,"Blue Bucket",2004,"Creator","Model making","Bucket","Normal",TRUE,400,NA,"https://brickset.com/sets/4696-1",0,1,"Bucket","Retail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
