"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","thumbnailURL","imageURL"
7694,"1",12,"Small basic set",1977,"Minitalia","Vintage",NA,"Normal",TRUE,91,NA,"https://brickset.com/sets/1-12",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/1-12.jpg","https://images.brickset.com/sets/images/1-12.jpg"
7696,"2",11,"Medium basic set",1977,"Minitalia","Vintage",NA,"Normal",TRUE,128,NA,"https://brickset.com/sets/2-11",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/2-11.jpg","https://images.brickset.com/sets/images/2-11.jpg"
5287,"085",1,"Racer",1977,"PreSchool","Pre-school",NA,"Normal",TRUE,4,1,"https://brickset.com/sets/085-1",0,0,"{Not specified}","{Not specified}",NA,NA
5289,"087",1,"Taxi",1977,"PreSchool","Pre-school",NA,"Normal",TRUE,5,1,"https://brickset.com/sets/087-1",0,0,"{Not specified}","{Not specified}",NA,NA
5293,"88",1,"Camping",1977,"PreSchool","Pre-school",NA,"Normal",TRUE,9,NA,"https://brickset.com/sets/88-1",0,0,"Box","Retail - limited",NA,NA
5292,"089",1,"Mary's House",1977,"PreSchool","Pre-school",NA,"Normal",TRUE,17,3,"https://brickset.com/sets/089-1",0,0,"{Not specified}","{Not specified}",NA,NA
141,"110",1,"Building Set, 3+",1977,"Universal Building Set","Basic",NA,"Normal",TRUE,131,NA,"https://brickset.com/sets/110-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/110-1.jpg","https://images.brickset.com/sets/images/110-1.jpg"
152,"111",1,"Building Set, 3+",1977,"Universal Building Set","Basic",NA,"Normal",TRUE,173,NA,"https://brickset.com/sets/111-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/111-1.jpg","https://images.brickset.com/sets/images/111-1.jpg"
159,"112",1,"Building Set, 3+",1977,"Universal Building Set","Basic",NA,"Normal",TRUE,200,NA,"https://brickset.com/sets/112-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/112-1.jpg","https://images.brickset.com/sets/images/112-1.jpg"
170,"113",1,"Universal Building Set, 3+",1977,"Universal Building Set","Basic",NA,"Normal",TRUE,258,NA,"https://brickset.com/sets/113-1",0,0,"{Not specified}","{Not specified}","https://images.brickset.com/sets/small/113-1.jpg","https://images.brickset.com/sets/images/113-1.jpg"
