"setID","number","numberVariant","name","year","theme","themeGroup","subtheme","category","released","pieces","minifigs","bricksetURL","rating","reviewCount","packagingType","availability","agerange_min","thumbnailURL","imageURL","US_retailPrice","US_dateFirstAvailable","US_dateLastAvailable","height","width","depth","weight"
1152,"2872",1,"Witch and Fireplace",1997,"Castle","Historical","Fright Knights","Normal",TRUE,19,1,"https://brickset.com/sets/2872-1",3.9,7,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2872-1.jpg","https://images.brickset.com/sets/images/2872-1.jpg",NA,NA,NA,NA,NA,NA,NA
7058,"2873",1,"Christmas Set",1997,"Basic","Basic","Seasonal","Normal",TRUE,9,NA,"https://brickset.com/sets/2873-1",0,0,"Polybag","{Not specified}",5,"https://images.brickset.com/sets/small/2873-1.jpg","https://images.brickset.com/sets/images/2873-1.jpg",NA,NA,NA,NA,NA,NA,NA
22543,"2874",1,"Christmas Set",1997,"Basic","Basic","Seasonal","Normal",TRUE,9,NA,"https://brickset.com/sets/2874-1",0,0,"Polybag","Unknown",5,"https://images.brickset.com/sets/small/2874-1.jpg","https://images.brickset.com/sets/images/2874-1.jpg",NA,NA,NA,NA,NA,NA,NA
8141,"2875",1,"Mouse",1997,"Basic","Basic",NA,"Normal",TRUE,9,NA,"https://brickset.com/sets/2875-1",0,1,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/2875-1.jpg","https://images.brickset.com/sets/images/2875-1.jpg",NA,NA,NA,NA,NA,NA,NA
7059,"2876",1,"Christmas Set",1997,"Basic","Basic","Seasonal","Normal",TRUE,9,NA,"https://brickset.com/sets/2876-1",0,0,"Polybag","{Not specified}",5,"https://images.brickset.com/sets/small/2876-1.jpg","https://images.brickset.com/sets/images/2876-1.jpg",NA,NA,NA,NA,NA,NA,NA
8143,"2877",1,"Snowman",1997,"Basic","Basic",NA,"Normal",TRUE,9,NA,"https://brickset.com/sets/2877-1",0,0,"Polybag","{Not specified}",NA,"https://images.brickset.com/sets/small/2877-1.jpg","https://images.brickset.com/sets/images/2877-1.jpg",NA,NA,NA,NA,NA,NA,NA
1153,"2878",1,"Santa Claus",1997,"Basic","Basic","Seasonal","Normal",TRUE,16,NA,"https://brickset.com/sets/2878-1",0,0,"Polybag","Promotional",5,"https://images.brickset.com/sets/small/2878-1.jpg","https://images.brickset.com/sets/images/2878-1.jpg",NA,NA,NA,NA,NA,NA,NA
1155,"2880",1,"Open-Top Jeep",1997,"Town","Modern day","Vehicles","Normal",TRUE,29,NA,"https://brickset.com/sets/2880-1",0,3,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2880-1.jpg","https://images.brickset.com/sets/images/2880-1.jpg",NA,NA,NA,7.2,7.2,4.8,NA
1156,"2881",1,"Parking Gate Attendant",1997,"Town","Modern day","Vehicles","Normal",TRUE,19,1,"https://brickset.com/sets/2881-1",2.8,3,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2881-1.jpg","https://images.brickset.com/sets/images/2881-1.jpg",NA,NA,NA,NA,NA,NA,NA
1157,"2882",1,"Speedboat",1997,"Town","Modern day","Boats","Normal",TRUE,22,1,"https://brickset.com/sets/2882-1",0,0,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2882-1.jpg","https://images.brickset.com/sets/images/2882-1.jpg",NA,NA,NA,NA,NA,NA,NA
1158,"2883",1,"Swamp Racer",1997,"Town","Modern day","Boats","Normal",TRUE,28,NA,"https://brickset.com/sets/2883-1",0,2,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2883-1.jpg","https://images.brickset.com/sets/images/2883-1.jpg",NA,NA,NA,NA,NA,NA,NA
1159,"2884",1,"Microlight",1997,"Town","Modern day","Flight","Normal",TRUE,20,1,"https://brickset.com/sets/2884-1",0,2,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2884-1.jpg","https://images.brickset.com/sets/images/2884-1.jpg",NA,NA,NA,NA,NA,NA,NA
1160,"2885",1,"Ice Cream Seller",1997,"Town","Modern day","Shops and Services","Normal",TRUE,27,1,"https://brickset.com/sets/2885-1",2.9,2,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2885-1.jpg","https://images.brickset.com/sets/images/2885-1.jpg",NA,NA,NA,NA,NA,NA,NA
1161,"2886",1,"Formula 1 Racing Car",1997,"Town","Modern day","Racing","Normal",TRUE,25,NA,"https://brickset.com/sets/2886-1",3.3,6,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2886-1.jpg","https://images.brickset.com/sets/images/2886-1.jpg",NA,NA,NA,NA,NA,NA,NA
1162,"2887",1,"Petrol Station Attendant and Pump",1997,"Town","Modern day","Shops and Services","Normal",TRUE,15,1,"https://brickset.com/sets/2887-1",0,2,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2887-1.jpg","https://images.brickset.com/sets/images/2887-1.jpg",NA,NA,NA,NA,NA,NA,NA
1163,"2889",1,"Treasure Cart",1997,"Castle","Historical","Lion Knights","Normal",TRUE,23,1,"https://brickset.com/sets/2889-1",0,0,"Box","Promotional",NA,"https://images.brickset.com/sets/small/2889-1.jpg","https://images.brickset.com/sets/images/2889-1.jpg",NA,NA,NA,NA,NA,NA,NA
1164,"2890",1,"Stone Bomber",1997,"Castle","Historical","Black Knights","Normal",TRUE,21,1,"https://brickset.com/sets/2890-1",0,1,"Polybag","Promotional",NA,"https://images.brickset.com/sets/small/2890-1.jpg","https://images.brickset.com/sets/images/2890-1.jpg",NA,NA,NA,10.5,14,0,NA
1384,"3200",1,"Beauty Studio",1997,"Scala","Girls","Dolls","Normal",TRUE,31,1,"https://brickset.com/sets/3200-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3200-1.jpg","https://images.brickset.com/sets/images/3200-1.jpg",NA,NA,NA,NA,NA,NA,NA
1385,"3201",1,"Living Room",1997,"Scala","Girls","Dolls","Normal",TRUE,31,1,"https://brickset.com/sets/3201-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3201-1.jpg","https://images.brickset.com/sets/images/3201-1.jpg",NA,NA,NA,NA,NA,NA,NA
1386,"3202",1,"Laundry Room",1997,"Scala","Girls","Dolls","Normal",TRUE,42,1,"https://brickset.com/sets/3202-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3202-1.jpg","https://images.brickset.com/sets/images/3202-1.jpg",NA,NA,NA,NA,NA,NA,NA
1387,"3203",1,"Dressing Table",1997,"Scala","Girls","Dolls","Normal",TRUE,18,1,"https://brickset.com/sets/3203-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3203-1.jpg","https://images.brickset.com/sets/images/3203-1.jpg",NA,NA,NA,NA,NA,NA,NA
1407,"3240",1,"Ashley's Miniature Garden",1997,"Scala","Girls","Dolls","Normal",TRUE,54,1,"https://brickset.com/sets/3240-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3240-1.jpg","https://images.brickset.com/sets/images/3240-1.jpg",NA,NA,NA,NA,NA,NA,NA
1408,"3241",1,"Nursery",1997,"Scala","Girls","Dolls","Normal",TRUE,54,2,"https://brickset.com/sets/3241-1",0,0,"{Not specified}","{Not specified}",NA,"https://images.brickset.com/sets/small/3241-1.jpg","https://images.brickset.com/sets/images/3241-1.jpg",NA,NA,NA,NA,NA,NA,NA
